Start(sec)	End(sec)	Section	Confidence
0.60372	20.9444	aranagme	0.59214
20.6658	41.0529	aranagme	0.58978
40.8671	51.409	zemin	0.64751
51.4554	61.3936	zemin	0.03
61.44	71.6103	nakarat	0.62928
71.6103	81.7807	nakarat2	0.59947
81.7807	91.9975	meyan	0.70037
92.0439	102.2607	meyan2	0.69151
102.4	112.1988	nakarat	0.60113
112.0595	142.617	aranagme	0.38288
142.5705	162.9112	aranagme	0.64314
162.9112	173.128	zemin	0.62469
173.0815	182.8804	zemin	0.60766
183.0661	193.19	nakarat	0.6203
193.0043	203.1746	nakarat2	0.55163
203.1282	213.3449	meyan	0.70491
213.2056	223.5153	meyan2	0.69173
223.5617	233.3605	nakarat	0.6289
233.4999	243.3451	nakarat2	0.6097
243.438	253.6548	nakarat	0.59138
253.3761	263.918	nakarat2	0.63591
263.9644	269.2586	unsure	0.01
