Start(sec)	End(sec)	Section	Confidence
0.51084	14.3499	aranagme	0.60365
14.3964	27.6782	aranagme	0.59612
27.7246	34.5513	zemin	0.03
34.5513	41.378	zemin	0.03
41.4244	48.3439	nakarat	0.4972
48.2975	55.1706	nakarat2	0.50635
55.0777	61.5329	meyan	0.61075
60.3719	75.8364	meyan2	0.34696
73.1429	88.9789	zemin	0.35358
89.0253	94.7839	unsure	0.01
94.8303	108.1121	aranagme	0.63467
108.0657	121.3939	aranagme	0.62994
121.301	127.942	zemin	0.5823
127.3382	141.5024	zemin	0.40087
141.5488	147.4467	unsure	0.01
147.4932	153.9947	meyan	0.54385
154.0412	160.5892	meyan2	0.03
160.6356	167.0444	nakarat	0.49046
167.0444	173.4531	nakarat2	0.50194
173.4531	179.676	nakarat	0.47377
178.8865	188.0816	nakarat2	0.42472
188.1281	192.1683	unsure	0.01
