Start(sec)	End(sec)	Section	Confidence
0.27864	14.6286	aranagme	0.62364
14.7679	22.4769	zemin	0.55779
22.5234	30.0466	zemin	0.03
30.0931	38.0807	nakarat	0.61887
37.9414	45.9291	nakarat2	0.64881
45.7898	53.8239	meyan	0.68351
53.6845	61.7651	meyan2	0.72474
61.6722	69.9385	nakarat	0.60558
69.7527	77.694	nakarat2	0.62047
77.4153	93.2978	aranagme	0.64192
93.2513	101.7963	zemin	0.59584
101.8427	109.7375	zemin	0.03
109.7839	118.0502	nakarat	0.57911
117.9574	126.2237	nakarat2	0.57118
125.9915	134.2578	meyan	0.72245
134.1185	142.4776	meyan2	0.70325
142.4312	150.6511	nakarat	0.57306
150.6975	158.6387	nakarat2	0.57375
158.5459	167.0908	nakarat	0.60753
167.1372	172.9422	nakarat2	0.03
