Start(sec)	End(sec)	Section	Confidence
0.18576	19.1332	aranagme	0.61073
18.901	37.8485	aranagme	0.63627
37.477	47.3223	zemin	0.78379
47.3687	56.5174	zemin	0.03
56.5638	66.0376	nakarat	0.66978
66.084	75.2791	nakarat2	0.68975
75.4649	85.5888	meyan	0.62867
84.0098	93.9944	meyan2	0.47899
94.0408	103.5146	nakarat	0.62231
103.4217	112.9419	nakarat2	0.6647
112.7561	131.7036	aranagme	0.60045
131.6571	150.6046	aranagme	0.61239
150.6046	159.7997	zemin	0.85184
159.8462	169.1806	zemin	0.03
169.227	178.7008	nakarat	0.70043
178.5615	188.0352	nakarat2	0.65278
187.9888	198.4842	meyan	0.62408
196.5337	206.8898	meyan2	0.43644
206.7969	216.2707	nakarat	0.70038
216.1778	225.698	nakarat2	0.71218
225.7444	229.3203	unsure	0.01
