Start(sec)	End(sec)	Section	Confidence
0.65016	18.901	aranagme	0.58702
18.8546	36.5018	aranagme	0.67196
36.3624	46.2077	zemin	0.63371
46.2541	54.6133	zemin	0.03
54.6598	63.4834	nakarat	0.63259
63.7156	72.2141	nakarat2	0.75057
72.3069	82.1058	meyan	0.61609
79.7373	90.047	meyan2	0.56692
90.1399	98.9634	nakarat	0.66804
98.8706	107.6941	nakarat2	0.68882
107.6013	124.6447	aranagme	0.63611
124.6912	142.1061	unsure	0.01
142.1526	150.9761	nakarat	0.56946
150.8833	159.4282	nakarat2	0.64182
159.4746	168.6233	meyan	0.03
168.6698	179.3509	meyan2	0.57298
179.3974	188.6854	nakarat	0.03
188.6854	197.9733	nakarat2	0.03
