Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1
1	9	Si4b1	B4b1	313	313	1	8	333	95	96	ARANAĞME
2	9	Re5	D5	327	327	1	8	333	95	96	.
3	9			-1	-1	1	16	167	100	0	.
4	9	Si4b1	B4b1	313	313	1	16	167	95	96	.
5	9	Do5	C5	318	318	1	16	167	95	96	.
6	9	Re5	D5	327	327	1	16	167	95	96	.
7	9	Mi5	E5	336	336	1	8	333	95	96	.
8	9	Re5	D5	327	327	1	8	333	95	96	.
9	9	Si4b1	B4b1	313	313	1	8	333	95	96	.
10	9	Sol4	G4	296	296	1	8	333	95	96	.
11	11	Si4b1	B4b1	313	313	1	8	333	95	96	.
12	9	Si4b1	B4b1	313	313	1	16	167	95	96	.
13	9	Sol4	G4	296	296	1	16	167	95	96	.
14	9	La4	A4	305	305	1	16	167	95	96	.
15	9	Sol4	G4	296	296	1	16	167	95	96	.
16	9	La4	A4	305	305	1	16	167	95	96	.
17	9	Sol4	G4	296	296	1	16	167	95	96	.
18	9	Si4b1	B4b1	313	313	1	4	667	95	96	.
19	9			-1	-1	1	4	667	100	0	.
20	9	Do5	C5	318	318	1	16	167	95	96	.
21	9	Si4b1	B4b1	313	313	1	16	167	95	96	.
22	9	La4	A4	305	305	1	16	167	95	96	.
23	9	Sol4	G4	296	296	1	16	167	95	96	.
24	9	La4	A4	305	305	1	8	333	95	96	.
25	9	Si4b1	B4b1	313	313	1	8	333	95	96	.
26	9	Do5	C5	318	318	1	8	333	95	96	.
27	9	Mi5	E5	336	336	1	8	333	95	96	.
28	9	Re5	D5	327	327	1	4	667	95	96	.
29	11	Si4b1	B4b1	313	313	1	8	333	95	96	.
30	9	Si4b1	B4b1	313	313	1	16	167	95	96	.
31	9	Sol4	G4	296	296	1	16	167	95	96	.
32	9	La4	A4	305	305	1	16	167	95	96	.
33	9	Sol4	G4	296	296	1	16	167	95	96	.
34	9	La4	A4	305	305	1	16	167	95	96	.
