Start(sec)	End(sec)	Section	Confidence
0	10.9134	aranagme	0.03
10.9598	20.898	aranagme	0.53683
20.9444	25.6813	unsure	0.01
25.7277	34.5513	zemin	0.71081
34.8764	45.2789	zemin2	0.63759
45.604	53.9167	nakarat	0.49985
53.9167	65.4338	nakarat2	0.60619
65.4803	74.3503	meyan	0.65355
74.7218	86.1925	meyan2	0.56794
86.0532	94.6445	nakarat	0.54415
94.4123	103.3288	nakarat3	0.58402
102.5858	112.849	aranagme	0.5346
112.8954	117.9109	unsure	0.01
117.9574	126.5023	zemin	0.63594
126.3166	137.4621	zemin2	0.61179
137.3693	145.9606	nakarat	0.45791
146.425	157.1062	nakarat2	0.60777
157.0133	165.8834	meyan	0.56859
166.1156	177.5862	meyan2	0.5258
177.5862	186.1776	nakarat	0.52516
185.7596	195.6978	nakarat3	0.53466
195.7442	199.738	unsure	0.01
