Start(sec)	End(sec)	Section	Confidence
0.55728	11.2849	aranagme	0.67308
11.2385	21.5481	aranagme	0.60236
22.059	30.0931	zemin	0.515
30.1395	41.2386	zemin2	0.62456
41.3315	49.5978	nakarat	0.56185
49.5978	60.697	nakarat2	0.57998
60.6505	69.2419	meyan	0.63792
69.149	80.2482	meyan2	0.51986
80.2946	88.5145	nakarat	0.56647
88.5609	96.8272	nakarat3	0.03
96.8737	107.6013	aranagme	0.62666
107.7406	118.4218	aranagme	0.64533
118.4682	127.0132	zemin	0.03
127.0596	137.7872	zemin2	0.59403
137.8337	146.1464	nakarat	0.59076
146.1464	157.2455	nakarat2	0.65148
157.3849	165.6976	meyan	0.59458
165.744	176.8432	meyan2	0.55732
176.8896	185.1559	nakarat	0.54274
185.2024	198.3913	unsure	0.01
